BLOCK,Code,X1,X2,X3,X4
BLOCK I,Check-1,0.10,1.00,10.00,100.00
BLOCK I,Check-2,0.20,2.00,20.00,200.00
BLOCK I,V1,0.30,3.00,30.00,300.00
BLOCK I,V2,0.40,4.00,40.00,400.00
BLOCK I,V3,0.50,5.00,50.00,500.00
BLOCK I,V4,0.60,6.00,60.00,600.00
BLOCK I,V5,0.70,7.00,70.00,700.00
BLOCK I,V6,0.80,8.00,80.00,800.00
BLOCK I,V7,0.90,9.00,90.00,900.00
BLOCK I,V8,1.00,10.00,100.00,1000.00
BLOCK II,Check-1,1.10,11.00,110.00,1100.00
BLOCK II,Check-2,1.20,12.00,120.00,1200.00
BLOCK II,V9,1.30,13.00,130.00,1300.00
BLOCK II,V10,1.40,14.00,140.00,1400.00
BLOCK II,V11,1.50,15.00,150.00,1500.00
BLOCK II,V12,1.60,16.00,160.00,1600.00
BLOCK II,V13,1.70,17.00,170.00,1700.00
BLOCK II,V14,1.80,18.00,180.00,1800.00
BLOCK II,V15,1.90,19.00,190.00,1900.00
BLOCK II,V16,2.00,20.00,200.00,2000.00
BLOCK III,Check-1,2.10,21.00,210.00,2100.00
BLOCK III,Check-2,2.20,22.00,220.00,2200.00
BLOCK III,V17,2.30,23.00,230.00,2300.00
BLOCK III,V18,2.40,24.00,240.00,2400.00
BLOCK III,V19,2.50,25.00,250.00,2500.00
BLOCK III,V20,2.60,26.00,260.00,2600.00
BLOCK III,V21,2.70,27.00,270.00,2700.00
BLOCK III,V22,2.80,28.00,280.00,2800.00
BLOCK III,V23,2.90,29.00,290.00,2900.00
BLOCK III,V24,3.00,30.00,300.00,3000.00
